Nodes,Edges,Attempt,Distance,Time,TransitiveTime
1000,2000,0,10,955,4412
1000,2000,1,-1,457,8600
1000,2000,2,10,174,2017
1000,2000,3,-1,396,8299
1000,2000,4,8,149,406
1000,2000,5,-1,3,5
1000,2000,6,11,258,1678
1000,2000,7,10,219,2077
1000,2000,8,12,214,666
1000,2000,9,8,173,450
1000,2000,10,-1,373,5557
1000,2000,11,-1,7,1
1000,2000,12,14,332,6058
1000,2000,13,8,73,103
1000,2000,14,-1,328,5660
1000,2000,15,-1,362,6381
1000,2000,16,5,87,380
1000,2000,17,-1,4,1
1000,2000,18,-1,2,1
1000,2000,19,-1,2,1
1000,2000,20,11,148,814
1000,2000,21,5,25,403
1000,2000,22,11,145,814
1000,2000,23,-1,331,5621
1000,2000,24,10,155,1484
1000,2000,25,9,118,1887
1000,2000,26,9,95,1429
1000,2000,27,7,120,1076
1000,2000,28,-1,25,6
1000,2000,29,-1,4,12
1000,2000,30,15,575,4013
1000,2000,31,-1,327,5716
1000,2000,32,14,328,5452
1000,2000,33,-1,418,5481
1000,2000,34,9,74,873
1000,2000,35,14,272,3130
1000,2000,36,-1,369,4994
1000,2000,37,8,129,162
1000,2000,38,4,27,29
1000,2000,39,-1,6399,4611
1000,2000,40,11,112,606
1000,2000,41,5,16,248
1000,2000,42,8,158,470
1000,2000,43,-1,296,4879
1000,2000,44,8,73,163
1000,2000,45,10,86,709
1000,2000,46,-1,306,4554
1000,2000,47,9,160,2332
1000,2000,48,13,225,2972
1000,2000,49,9,168,3642
1000,10000,0,3,129,530
1000,10000,1,4,491,472
1000,10000,2,4,535,506
1000,10000,3,4,395,403
1000,10000,4,3,118,480
1000,10000,5,4,425,433
1000,10000,6,4,479,472
1000,10000,7,4,473,474
1000,10000,8,3,165,533
1000,10000,9,4,433,452
1000,10000,10,3,103,454
1000,10000,11,3,115,481
1000,10000,12,4,309,347
1000,10000,13,4,403,429
1000,10000,14,2,22,521
1000,10000,15,3,70,391
1000,10000,16,3,90,428
1000,10000,17,3,326,1160
1000,10000,18,3,178,499
1000,10000,19,4,542,504
1000,10000,20,4,492,489
1000,10000,21,2,12,476
1000,10000,22,3,104,456
1000,10000,23,3,140,521
1000,10000,24,3,213,592
1000,10000,25,4,484,474
1000,10000,26,3,90,431
1000,10000,27,3,88,437
1000,10000,28,4,377,388
1000,10000,29,4,562,575
1000,10000,30,4,401,398
1000,10000,31,4,588,472
1000,10000,32,2,14,457
1000,10000,33,4,527,490
1000,10000,34,4,418,426
1000,10000,35,3,98,459
1000,10000,36,4,324,357
1000,10000,37,3,128,974
1000,10000,38,3,298,600
1000,10000,39,3,148,413
1000,10000,40,4,476,446
1000,10000,41,2,17,457
1000,10000,42,3,94,437
1000,10000,43,4,547,518
1000,10000,44,2,17,480
1000,10000,45,2,12,437
1000,10000,46,3,98,458
1000,10000,47,3,122,488
1000,10000,48,4,440,443
1000,10000,49,3,151,492
1000,50000,0,2,175,3697
1000,50000,1,2,205,2318
1000,50000,2,2,181,1994
1000,50000,3,2,150,1957
1000,50000,4,2,152,2148
1000,50000,5,2,170,2042
1000,50000,6,2,166,2112
1000,50000,7,2,158,2858
1000,50000,8,2,193,2168
1000,50000,9,2,233,1957
1000,50000,10,2,145,1946
1000,50000,11,2,122,2015
1000,50000,12,2,154,2026
1000,50000,13,2,146,2208
1000,50000,14,3,2164,2112
1000,50000,15,2,172,1982
1000,50000,16,3,1788,1964
1000,50000,17,2,141,2109
1000,50000,18,2,168,2021
1000,50000,19,2,150,2130
1000,50000,20,2,146,2803
1000,50000,21,2,144,2098
1000,50000,22,2,146,1979
1000,50000,23,2,163,1954
1000,50000,24,2,163,2078
1000,50000,25,2,145,2020
1000,50000,26,3,1700,2006
1000,50000,27,2,211,2237
1000,50000,28,2,176,1987
1000,50000,29,2,142,2021
1000,50000,30,1,6,2103
1000,50000,31,2,151,2301
1000,50000,32,2,129,2133
1000,50000,33,2,145,2178
1000,50000,34,2,133,2188
1000,50000,35,2,158,1944
1000,50000,36,2,138,1934
1000,50000,37,2,164,1956
1000,50000,38,1,4,1929
1000,50000,39,2,153,2088
1000,50000,40,1,7,1938
1000,50000,41,2,162,2030
1000,50000,42,2,185,2230
1000,50000,43,2,139,1971
1000,50000,44,2,144,1944
1000,50000,45,3,1864,2062
1000,50000,46,2,169,2032
1000,50000,47,2,151,2084
1000,50000,48,2,209,3550
1000,50000,49,2,244,2653
