Nodes,Edges,Attempt,Distance,Time,TransitiveTime
1000,2000,0,10,16352,6845
1000,2000,1,-1,2977,6332
1000,2000,2,10,2266,3112
1000,2000,3,-1,2383,5837
1000,2000,4,8,2000,1927
1000,2000,5,-1,1664,1940
1000,2000,6,11,2113,2891
1000,2000,7,10,2474,3339
1000,2000,8,12,1885,2140
1000,2000,9,8,1853,2014
1000,2000,10,-1,1860,6056
1000,2000,11,-1,1930,1729
1000,2000,12,14,2160,5883
1000,2000,13,8,2218,1758
1000,2000,14,-1,1944,25368
1000,2000,15,-1,2295,5971
1000,2000,16,5,1591,1613
1000,2000,17,-1,217,188
1000,2000,18,-1,1370,1320
1000,2000,19,-1,1299,1231
1000,2000,20,11,1439,2119
1000,2000,21,5,1335,1547
1000,2000,22,11,1547,1928
1000,2000,23,-1,1572,5302
1000,2000,24,10,2269,2550
1000,2000,25,9,1677,2962
1000,2000,26,9,1555,2415
1000,2000,27,7,1435,1779
1000,2000,28,-1,1586,1495
1000,2000,29,-1,1315,1623
1000,2000,30,15,1470,3870
1000,2000,31,-1,1521,5070
1000,2000,32,14,2008,4894
1000,2000,33,-1,1556,4956
1000,2000,34,9,1296,2258
1000,2000,35,14,1459,4278
1000,2000,36,-1,1607,4922
1000,2000,37,8,1365,1380
1000,2000,38,4,1532,1379
1000,2000,39,-1,1440,5973
1000,2000,40,11,1875,1727
1000,2000,41,5,1137,1319
1000,2000,42,8,1551,1514
1000,2000,43,-1,1328,4951
1000,2000,44,8,1189,1177
1000,2000,45,10,1071,1683
1000,2000,46,-1,1302,5034
1000,2000,47,9,1196,2838
1000,2000,48,13,1203,3609
1000,2000,49,9,1612,4172
1000,10000,0,3,3086,2697
1000,10000,1,4,2340,2348
1000,10000,2,4,2739,2421
1000,10000,3,4,2141,2143
1000,10000,4,3,2018,2491
1000,10000,5,4,2163,2194
1000,10000,6,4,2514,2227
1000,10000,7,4,2100,2099
1000,10000,8,3,1876,2224
1000,10000,9,4,2044,2272
1000,10000,10,3,1875,2078
1000,10000,11,3,1769,2133
1000,10000,12,4,2224,2462
1000,10000,13,4,2269,2372
1000,10000,14,2,1759,2143
1000,10000,15,3,1722,2005
1000,10000,16,3,2159,2066
1000,10000,17,3,1710,2257
1000,10000,18,3,1770,2002
1000,10000,19,4,2021,2718
1000,10000,20,4,2328,2292
1000,10000,21,2,1849,2462
1000,10000,22,3,2124,2215
1000,10000,23,3,1918,2229
1000,10000,24,3,1860,2264
1000,10000,25,4,2227,2340
1000,10000,26,3,1724,2085
1000,10000,27,3,1795,1988
1000,10000,28,4,1897,1981
1000,10000,29,4,2051,2543
1000,10000,30,4,2006,2165
1000,10000,31,4,2038,2031
1000,10000,32,2,1638,2014
1000,10000,33,4,2081,2397
1000,10000,34,4,2079,2185
1000,10000,35,3,1890,2076
1000,10000,36,4,1880,1946
1000,10000,37,3,1727,2363
1000,10000,38,3,2164,2155
1000,10000,39,3,1701,1980
1000,10000,40,4,1961,2028
1000,10000,41,2,1650,2214
1000,10000,42,3,2005,2026
1000,10000,43,4,2028,2074
1000,10000,44,2,1707,2169
1000,10000,45,2,1649,2148
1000,10000,46,3,2400,2091
1000,10000,47,3,2199,2307
1000,10000,48,4,2051,2162
1000,10000,49,3,1773,2686
1000,50000,0,2,5762,8326
1000,50000,1,2,6385,8449
1000,50000,2,2,5859,8017
1000,50000,3,2,11763,8542
1000,50000,4,2,6434,8400
1000,50000,5,2,5934,7859
1000,50000,6,2,7402,7677
1000,50000,7,2,6506,7543
1000,50000,8,2,6035,8138
1000,50000,9,2,6109,8889
1000,50000,10,2,5948,8566
1000,50000,11,2,5909,8573
1000,50000,12,2,6113,7615
1000,50000,13,2,6443,7305
1000,50000,14,3,8277,7795
1000,50000,15,2,7039,7905
1000,50000,16,3,8226,7718
1000,50000,17,2,5786,8206
1000,50000,18,2,5955,8457
1000,50000,19,2,5640,8108
1000,50000,20,2,5728,7431
1000,50000,21,2,6503,7239
1000,50000,22,2,6167,7520
1000,50000,23,2,5584,8212
1000,50000,24,2,5828,8248
1000,50000,25,2,5823,8302
1000,50000,26,3,7568,8376
1000,50000,27,2,6548,7941
1000,50000,28,2,7300,7520
1000,50000,29,2,6258,7349
1000,50000,30,1,5522,8284
1000,50000,31,2,5440,7861
1000,50000,32,2,5630,7841
1000,50000,33,2,5696,7131
1000,50000,34,2,7093,7150
1000,50000,35,2,5587,7293
1000,50000,36,2,5392,7434
1000,50000,37,2,5540,7600
1000,50000,38,1,5667,7310
1000,50000,39,2,5955,11396
1000,50000,40,1,6707,8312
1000,50000,41,2,6620,8660
1000,50000,42,2,6803,9010
1000,50000,43,2,6784,8801
1000,50000,44,2,6391,9165
1000,50000,45,3,8588,8664
1000,50000,46,2,6084,9077
1000,50000,47,2,7993,8646
1000,50000,48,2,5947,8815
1000,50000,49,2,6317,8311
