Nodes,Edges,Attempt,Distance,Time,TransitiveTime
1000,2000,0,10,80671,613999
1000,2000,1,-1,96107,1111176
1000,2000,2,10,34762,304088
1000,2000,3,-1,79267,1113791
1000,2000,4,8,26404,64903
1000,2000,5,-1,108,141
1000,2000,6,11,47821,364141
1000,2000,7,10,43458,417857
1000,2000,8,12,55940,131961
1000,2000,9,8,29933,91996
1000,2000,10,-1,69910,1055628
1000,2000,11,-1,88,155
1000,2000,12,14,63760,1012494
1000,2000,13,8,8822,20304
1000,2000,14,-1,64577,1105309
1000,2000,15,-1,69937,1070530
1000,2000,16,5,4011,64967
1000,2000,17,-1,90,96
1000,2000,18,-1,46,125
1000,2000,19,-1,78,121
1000,2000,20,11,26800,157487
1000,2000,21,5,4209,74276
1000,2000,22,11,29314,166391
1000,2000,23,-1,71666,1065270
1000,2000,24,10,29845,289848
1000,2000,25,9,26419,360949
1000,2000,26,9,29598,273438
1000,2000,27,7,24341,122940
1000,2000,28,-1,190,287
1000,2000,29,-1,53,146
1000,2000,30,15,64458,793561
1000,2000,31,-1,66893,1070300
1000,2000,32,14,63136,964160
1000,2000,33,-1,66279,1078087
1000,2000,34,9,15077,208130
1000,2000,35,14,54383,716214
1000,2000,36,-1,80318,1067363
1000,2000,37,8,10262,27434
1000,2000,38,4,2234,3234
1000,2000,39,-1,67326,1152016
1000,2000,40,11,26122,150132
1000,2000,41,5,3837,57146
1000,2000,42,8,38404,114025
1000,2000,43,-1,71350,1259441
1000,2000,44,8,16244,41395
1000,2000,45,10,19501,179439
1000,2000,46,-1,74300,1125326
1000,2000,47,9,36928,573245
1000,2000,48,13,47434,794172
1000,2000,49,9,34816,561877
1000,10000,0,3,13904,87264
1000,10000,1,4,75916,75358
1000,10000,2,4,79431,93751
1000,10000,3,4,59736,61454
1000,10000,4,3,14020,81362
1000,10000,5,4,64758,72885
1000,10000,6,4,87239,98786
1000,10000,7,4,80924,90966
1000,10000,8,3,25590,101107
1000,10000,9,4,71697,81982
1000,10000,10,3,11434,100663
1000,10000,11,3,14245,107558
1000,10000,12,4,44116,45788
1000,10000,13,4,63519,70363
1000,10000,14,2,2398,100472
1000,10000,15,3,7894,55760
1000,10000,16,3,9534,66157
1000,10000,17,3,12801,78362
1000,10000,18,3,8876,58352
1000,10000,19,4,96176,98617
1000,10000,20,4,74729,73084
1000,10000,21,2,1089,59334
1000,10000,22,3,11533,96009
1000,10000,23,3,15762,84969
1000,10000,24,3,27564,99716
1000,10000,25,4,78902,75207
1000,10000,26,3,8866,63737
1000,10000,27,3,10600,73358
1000,10000,28,4,66426,59632
1000,10000,29,4,103931,88246
1000,10000,30,4,53492,61675
1000,10000,31,4,84589,107393
1000,10000,32,2,1550,70863
1000,10000,33,4,76980,86609
1000,10000,34,4,65651,64564
1000,10000,35,3,10529,73319
1000,10000,36,4,46008,49037
1000,10000,37,3,23428,86592
1000,10000,38,3,16609,91863
1000,10000,39,3,9046,60423
1000,10000,40,4,80969,83012
1000,10000,41,2,2237,79024
1000,10000,42,3,10601,96263
1000,10000,43,4,87045,97013
1000,10000,44,2,1533,90892
1000,10000,45,2,1701,71105
1000,10000,46,3,10731,71745
1000,10000,47,3,14372,81096
1000,10000,48,4,68436,71803
1000,10000,49,3,15380,82494
1000,50000,0,2,9093,233892
1000,50000,1,2,11301,251050
1000,50000,2,2,9388,203696
1000,50000,3,2,9413,231561
1000,50000,4,2,8731,238383
1000,50000,5,2,12728,238613
1000,50000,6,2,13016,263877
1000,50000,7,2,10170,241061
1000,50000,8,2,11424,244828
1000,50000,9,2,11829,211498
1000,50000,10,2,10559,222109
1000,50000,11,2,8557,246944
1000,50000,12,2,12283,218213
1000,50000,13,2,11069,249698
1000,50000,14,3,208119,220390
1000,50000,15,2,12672,247918
1000,50000,16,3,211807,211375
1000,50000,17,2,10253,251876
1000,50000,18,2,10873,217866
1000,50000,19,2,10611,224483
1000,50000,20,2,8916,249854
1000,50000,21,2,10014,215486
1000,50000,22,2,10972,249619
1000,50000,23,2,12424,214173
1000,50000,24,2,12143,214485
1000,50000,25,2,9753,288693
1000,50000,26,3,204593,233996
1000,50000,27,2,10731,257948
1000,50000,28,2,15729,225483
1000,50000,29,2,11198,257923
1000,50000,30,1,232,221499
1000,50000,31,2,8737,257392
1000,50000,32,2,8105,222790
1000,50000,33,2,11482,221810
1000,50000,34,2,25768,258489
1000,50000,35,2,12919,227403
1000,50000,36,2,9213,258494
1000,50000,37,2,16397,230025
1000,50000,38,1,253,233689
1000,50000,39,2,13505,250371
1000,50000,40,1,250,246537
1000,50000,41,2,14773,272533
1000,50000,42,2,11094,230286
1000,50000,43,2,9217,305140
1000,50000,44,2,11291,266318
1000,50000,45,3,222337,335975
1000,50000,46,2,11311,280741
1000,50000,47,2,14545,243764
1000,50000,48,2,9464,257720
1000,50000,49,2,15083,236618
