Nodes,Edges,Attempt,Distance,Time,TransitiveTime
1000,2000,0,10,14017,23027
1000,2000,1,-1,2549,41889
1000,2000,2,10,2338,13017
1000,2000,3,-1,2354,42722
1000,2000,4,8,2214,2052
1000,2000,5,-1,1835,1929
1000,2000,6,11,2437,13934
1000,2000,7,10,2402,17147
1000,2000,8,12,1840,6079
1000,2000,9,8,1695,1637
1000,2000,10,-1,1708,51132
1000,2000,11,-1,2159,1501
1000,2000,12,14,1655,16856
1000,2000,13,8,1364,1217
1000,2000,14,-1,1445,51093
1000,2000,15,-1,1222,41083
1000,2000,16,5,1071,926
1000,2000,17,-1,280,221
1000,2000,18,-1,930,834
1000,2000,19,-1,948,801
1000,2000,20,11,950,6556
1000,2000,21,5,1050,938
1000,2000,22,11,911,6556
1000,2000,23,-1,1082,39116
1000,2000,24,10,1188,10628
1000,2000,25,9,949,13575
1000,2000,26,9,975,10540
1000,2000,27,7,997,954
1000,2000,28,-1,794,768
1000,2000,29,-1,801,766
1000,2000,30,15,972,6060
1000,2000,31,-1,1126,38583
1000,2000,32,14,1159,11283
1000,2000,33,-1,1152,38095
1000,2000,34,9,969,7861
1000,2000,35,14,1002,3698
1000,2000,36,-1,1075,38397
1000,2000,37,8,1037,870
1000,2000,38,4,814,929
1000,2000,39,-1,1068,39825
1000,2000,40,11,1047,5725
1000,2000,41,5,869,911
1000,2000,42,8,948,1086
1000,2000,43,-1,1185,38832
1000,2000,44,8,1056,942
1000,2000,45,10,904,6852
1000,2000,46,-1,1199,38413
1000,2000,47,9,1051,19984
1000,2000,48,13,1016,4432
1000,2000,49,9,965,19171
1000,10000,0,3,2476,2361
1000,10000,1,4,2127,2252
1000,10000,2,4,2372,2544
1000,10000,3,4,2043,2291
1000,10000,4,3,1865,2271
1000,10000,5,4,1991,2245
1000,10000,6,4,2600,2329
1000,10000,7,4,2064,2439
1000,10000,8,3,1861,2257
1000,10000,9,4,1990,2491
1000,10000,10,3,1959,2232
1000,10000,11,3,1763,2224
1000,10000,12,4,2003,2292
1000,10000,13,4,2057,2721
1000,10000,14,2,1813,2421
1000,10000,15,3,1783,2267
1000,10000,16,3,1736,2199
1000,10000,17,3,1712,2665
1000,10000,18,3,1861,2209
1000,10000,19,4,2022,2178
1000,10000,20,4,1995,2265
1000,10000,21,2,1621,2681
1000,10000,22,3,2049,2293
1000,10000,23,3,1700,2245
1000,10000,24,3,1784,2222
1000,10000,25,4,2074,2629
1000,10000,26,3,1901,2292
1000,10000,27,3,1712,2259
1000,10000,28,4,1966,2249
1000,10000,29,4,2157,2944
1000,10000,30,4,2028,2318
1000,10000,31,4,2074,2278
1000,10000,32,2,1658,2237
1000,10000,33,4,2527,2304
1000,10000,34,4,1982,2239
1000,10000,35,3,1768,2257
1000,10000,36,4,1912,2466
1000,10000,37,3,1921,2278
1000,10000,38,3,1760,2211
1000,10000,39,3,1743,2242
1000,10000,40,4,2166,2495
1000,10000,41,2,1911,2276
1000,10000,42,3,1768,2299
1000,10000,43,4,2229,2321
1000,10000,44,2,1789,2707
1000,10000,45,2,1876,2313
1000,10000,46,3,1737,2287
1000,10000,47,3,1941,2406
1000,10000,48,4,2010,2463
1000,10000,49,3,1838,2246
1000,50000,0,2,5821,7376
1000,50000,1,2,5755,7381
1000,50000,2,2,5502,7479
1000,50000,3,2,5869,7381
1000,50000,4,2,5862,7463
1000,50000,5,2,8277,8459
1000,50000,6,2,6206,8561
1000,50000,7,2,6299,9357
1000,50000,8,2,6254,9310
1000,50000,9,2,6402,8775
1000,50000,10,2,6150,10791
1000,50000,11,2,6047,7767
1000,50000,12,2,5968,7767
1000,50000,13,2,6460,7214
1000,50000,14,3,7114,7281
1000,50000,15,2,5612,7273
1000,50000,16,3,7239,7818
1000,50000,17,2,5516,7387
1000,50000,18,2,5732,7856
1000,50000,19,2,6006,7470
1000,50000,20,2,5643,7177
1000,50000,21,2,5512,7417
1000,50000,22,2,5754,7500
1000,50000,23,2,5721,7056
1000,50000,24,2,5795,7091
1000,50000,25,2,5496,7608
1000,50000,26,3,6977,7715
1000,50000,27,2,5678,7575
1000,50000,28,2,5822,7129
1000,50000,29,2,6424,7139
1000,50000,30,1,5559,7234
1000,50000,31,2,5453,7792
1000,50000,32,2,5404,7351
1000,50000,33,2,5618,7121
1000,50000,34,2,5581,6959
1000,50000,35,2,5458,7431
1000,50000,36,2,5445,7279
1000,50000,37,2,5620,7571
1000,50000,38,1,5749,7177
1000,50000,39,2,5583,7253
1000,50000,40,1,5323,7236
1000,50000,41,2,5748,7266
1000,50000,42,2,5696,7115
1000,50000,43,2,5616,7368
1000,50000,44,2,5545,7261
1000,50000,45,3,6895,7311
1000,50000,46,2,8824,7416
1000,50000,47,2,5632,7093
1000,50000,48,2,5974,7235
1000,50000,49,2,6084,7943
