Nodes,Edges,Attempt,Distance,Time,TransitiveTime
10,100,0,2,3291,47109
10,100,1,0,3528,5145
10,100,2,2,11014,54211
10,100,3,1,17192,63954
10,100,4,2,29260,72216
10,100,5,1,21746,97381
10,100,6,0,72117,7929
10,100,7,1,4560,23358
10,100,8,1,2385,18911
10,100,9,0,1223,4871
10,100,10,2,7966,11777
10,100,11,1,1787,23393
10,100,12,0,429,333
10,100,13,1,2177,16835
10,100,14,2,10313,28864
10,100,15,2,67438,65715
10,100,16,2,35740,18617
10,100,17,1,1973,23166
10,100,18,2,9450,14235
10,100,19,1,1242,14498
10,100,20,0,1646,2042
10,100,21,1,1150,14415
10,100,22,2,6573,15153
10,100,23,0,3850,2878
10,100,24,1,5078,13464
10,100,25,1,1835,10072
10,100,26,1,1088,10706
10,100,27,1,653,20069
10,100,28,0,363,167
10,100,29,2,11939,8810
10,100,30,1,1093,6596
10,100,31,1,2445,20084
10,100,32,2,7232,20723
10,100,33,2,23355,16376
10,100,34,1,1574,28660
10,100,35,2,13970,25703
10,100,36,2,33128,22883
10,100,37,1,5826,24567
10,100,38,0,3787,7544
10,100,39,1,18698,56387
10,100,40,1,9452,66397
10,100,41,2,34611,133059
10,100,42,1,42954,91994
10,100,43,2,133069,47873
10,100,44,1,16846,92191
10,100,45,1,731,205139
10,100,46,1,26524,270331
10,100,47,0,16163,15918
10,100,48,1,115932,91231
10,100,49,1,854,69655
10,200,0,1,4478,30346
10,200,1,1,1025,28007
10,200,2,1,8185,30162
10,200,3,1,2812,15133
10,200,4,1,1718,15995
10,200,5,1,925,12347
10,200,6,2,11239,14982
10,200,7,1,3239,8210
10,200,8,1,814,65937
10,200,9,1,10070,16659
10,200,10,1,1712,32738
10,200,11,1,17096,47484
10,200,12,1,728,29053
10,200,13,2,11201,15833
10,200,14,1,4850,21469
10,200,15,1,8522,26558
10,200,16,1,10974,32874
10,200,17,1,6181,35283
10,200,18,1,11735,44450
10,200,19,1,8244,46305
10,200,20,2,29012,28048
10,200,21,1,11990,18111
10,200,22,2,7699,12286
10,200,23,1,6505,10617
10,200,24,2,6251,34233
10,200,25,1,6015,163268
10,200,26,1,12767,89183
10,200,27,0,2274,7087
10,200,28,2,55330,41510
10,200,29,2,50828,45292
10,200,30,1,5020,71178
10,200,31,0,3088,8075
10,200,32,1,16912,39173
10,200,33,1,33463,1749
10,200,34,1,50545,88686
10,200,35,1,14673,38924
10,200,36,1,7148,34141
10,200,37,1,2917,19302
10,200,38,1,3722,18727
10,200,39,1,1994,17268
10,200,40,2,11934,9869
10,200,41,1,3605,10687
10,200,42,2,7953,22469
10,200,43,1,2147,13533
10,200,44,1,1613,9734
10,200,45,2,33464,41443
10,200,46,0,441,21982
10,200,47,1,3987,60448
10,200,48,0,15080,12041
10,200,49,1,42446,99013
10,1000,0,1,4098,31161
10,1000,1,1,4674,31105
10,1000,2,0,240,84
10,1000,3,1,286,65416
10,1000,4,1,5105,28507
10,1000,5,1,4471,282772
10,1000,6,1,29202,44968
10,1000,7,1,62540,2116
10,1000,8,1,315,148569
10,1000,9,1,546,7711
10,1000,10,1,872,15861
10,1000,11,1,984,41887
10,1000,12,1,2840,17088
10,1000,13,1,3527,11342
10,1000,14,1,11125,22831
10,1000,15,0,34350,243
10,1000,16,1,3021,1725
10,1000,17,0,7236,1822
10,1000,18,1,26471,20019
10,1000,19,1,4028,10485
10,1000,20,1,2992,5965
10,1000,21,1,593,5744
10,1000,22,1,2633,3904
10,1000,23,1,6213,2022
10,1000,24,1,2793,3698
10,1000,25,1,561,1977
10,1000,26,1,4703,16469
10,1000,27,1,954,2540
10,1000,28,1,1898,7979
10,1000,29,1,552,17698
10,1000,30,1,415,11508
10,1000,31,1,1031,21597
10,1000,32,1,851,13157
10,1000,33,1,5659,14409
10,1000,34,1,295,4051
10,1000,35,1,377,6677
10,1000,36,0,189,74
10,1000,37,1,3475,19511
10,1000,38,1,4187,13333
10,1000,39,1,1739,30015
10,1000,40,1,10050,51690
10,1000,41,1,8643,49156
10,1000,42,1,4927,64113
10,1000,43,1,3910,62468
10,1000,44,1,38262,21984
10,1000,45,0,2026,1303
10,1000,46,1,1076,16562
10,1000,47,1,858,4823
10,1000,48,0,1602,495
10,1000,49,1,1140,4665
[0m[0m
