Nodes,Edges,Attempt,Distance,Time,TransitiveTime
10,100,0,2,58390,28203
10,100,1,0,26463,28580
10,100,2,2,26875,27090
10,100,3,1,32106,37786
10,100,4,2,28495,33344
10,100,5,1,27379,28624
10,100,6,0,32778,29856
10,100,7,1,33202,31806
10,100,8,1,30826,31090
10,100,9,0,28024,27806
10,100,10,2,30164,27527
10,100,11,1,28885,34268
10,100,12,0,30696,29883
10,100,13,1,28419,32272
10,100,14,2,27437,31190
10,100,15,2,29547,33006
10,100,16,2,32208,40667
10,100,17,1,65449,28863
10,100,18,2,28912,28124
10,100,19,1,36075,29274
10,100,20,0,29213,28756
10,100,21,1,31753,28849
10,100,22,2,27670,27566
10,100,23,0,28767,28524
10,100,24,1,28599,34360
10,100,25,1,28367,28310
10,100,26,1,29958,27196
10,100,27,1,27579,28318
10,100,28,0,34164,31542
10,100,29,2,27985,27188
10,100,30,1,30047,28324
10,100,31,1,26652,27260
10,100,32,2,27358,30453
10,100,33,2,27855,30241
10,100,34,1,28691,26955
10,100,35,2,30523,28635
10,100,36,2,27123,29757
10,100,37,1,26765,27376
10,100,38,0,26549,27342
10,100,39,1,26841,27484
10,100,40,1,27310,29037
10,100,41,2,29383,27332
10,100,42,1,27856,27429
10,100,43,2,27732,28031
10,100,44,1,26481,28455
10,100,45,1,32911,27629
10,100,46,1,28144,30381
10,100,47,0,27657,30877
10,100,48,1,29775,27191
10,100,49,1,26899,27040
10,200,0,1,27028,27453
10,200,1,1,28967,34059
10,200,2,1,27854,28707
10,200,3,1,27057,27277
10,200,4,1,26874,27699
10,200,5,1,27904,27521
10,200,6,2,27854,27373
10,200,7,1,26310,30962
10,200,8,1,28308,28694
10,200,9,1,34501,27852
10,200,10,1,27576,27224
10,200,11,1,28786,27944
10,200,12,1,29380,31169
10,200,13,2,29710,27727
10,200,14,1,27217,27463
10,200,15,1,27576,27123
10,200,16,1,27402,27228
10,200,17,1,27660,29039
10,200,18,1,26896,27500
10,200,19,1,31827,26561
10,200,20,2,27714,27560
10,200,21,1,26985,28282
10,200,22,2,27068,27296
10,200,23,1,27615,27110
10,200,24,2,26967,28779
10,200,25,1,28784,31309
10,200,26,1,28643,30387
10,200,27,0,25974,26986
10,200,28,2,27040,27179
10,200,29,2,26833,26425
10,200,30,1,26818,27697
10,200,31,0,27289,27791
10,200,32,1,29488,29088
10,200,33,1,28942,28189
10,200,34,1,29511,29346
10,200,35,1,31340,29435
10,200,36,1,28024,27089
10,200,37,1,26988,28266
10,200,38,1,30064,29143
10,200,39,1,27604,27815
10,200,40,2,26777,27861
10,200,41,1,31678,32072
10,200,42,2,27068,37546
10,200,43,1,29511,51488
10,200,44,1,31454,28019
10,200,45,2,32934,29910
10,200,46,0,27102,29958
10,200,47,1,47460,36714
10,200,48,0,40021,33524
10,200,49,1,28293,32967
10,1000,0,1,43688,28034
10,1000,1,1,28965,28520
10,1000,2,0,50845,39428
10,1000,3,1,29109,28523
10,1000,4,1,26996,38033
10,1000,5,1,26606,27221
10,1000,6,1,27429,29714
10,1000,7,1,27292,41775
10,1000,8,1,28355,28153
10,1000,9,1,27613,27796
10,1000,10,1,28817,27574
10,1000,11,1,27015,28604
10,1000,12,1,28252,27908
10,1000,13,1,28618,27065
10,1000,14,1,26759,28005
10,1000,15,0,28345,29752
10,1000,16,1,28547,31418
10,1000,17,0,28834,27522
10,1000,18,1,28318,28298
10,1000,19,1,28220,30903
10,1000,20,1,26878,27219
10,1000,21,1,27728,26533
10,1000,22,1,28565,27042
10,1000,23,1,31548,28798
10,1000,24,1,27697,29768
10,1000,25,1,27867,27640
10,1000,26,1,28955,28983
10,1000,27,1,30178,27302
10,1000,28,1,29588,28348
10,1000,29,1,27589,29454
10,1000,30,1,27387,28322
10,1000,31,1,28060,27644
10,1000,32,1,27243,28053
10,1000,33,1,27438,27706
10,1000,34,1,27222,27869
10,1000,35,1,29645,28690
10,1000,36,0,28801,30837
10,1000,37,1,27813,30906
10,1000,38,1,28715,30008
10,1000,39,1,29773,27886
10,1000,40,1,28385,27496
10,1000,41,1,27693,40229
10,1000,42,1,28010,44113
10,1000,43,1,32309,32300
10,1000,44,1,31019,27654
10,1000,45,0,28194,33809
10,1000,46,1,27870,29093
10,1000,47,1,26776,28002
10,1000,48,0,27687,27155
10,1000,49,1,30330,27479
