Nodes,Edges,Attempt,Distance,Time,TransitiveTime
1000,2000,0,10,45367,494718
1000,2000,1,-1,64376,1106890
1000,2000,2,10,28897,306472
1000,2000,3,-1,62256,1087681
1000,2000,4,8,24208,59975
1000,2000,5,-1,256,274
1000,2000,6,11,55014,324254
1000,2000,7,10,35724,431316
1000,2000,8,12,36096,136304
1000,2000,9,8,29182,87060
1000,2000,10,-1,63359,1046403
1000,2000,11,-1,402,210
1000,2000,12,14,80155,1006136
1000,2000,13,8,8737,19025
1000,2000,14,-1,64043,1097333
1000,2000,15,-1,79828,1083725
1000,2000,16,5,4298,65572
1000,2000,17,-1,365,208
1000,2000,18,-1,352,224
1000,2000,19,-1,163,246
1000,2000,20,11,24958,163228
1000,2000,21,5,4092,75904
1000,2000,22,11,29172,176310
1000,2000,23,-1,64850,1109049
1000,2000,24,10,29701,295596
1000,2000,25,9,23474,394002
1000,2000,26,9,18395,291589
1000,2000,27,7,21545,128514
1000,2000,28,-1,303,400
1000,2000,29,-1,160,210
1000,2000,30,15,61101,802381
1000,2000,31,-1,78163,1100216
1000,2000,32,14,64437,988286
1000,2000,33,-1,68294,1120849
1000,2000,34,9,13957,209822
1000,2000,35,14,53175,735020
1000,2000,36,-1,64685,1127592
1000,2000,37,8,11540,27881
1000,2000,38,4,4572,3006
1000,2000,39,-1,64525,1097616
1000,2000,40,11,23479,147319
1000,2000,41,5,3704,85267
1000,2000,42,8,33600,120157
1000,2000,43,-1,66438,1080816
1000,2000,44,8,15396,37630
1000,2000,45,10,17764,177441
1000,2000,46,-1,75979,1106562
1000,2000,47,9,34421,569955
1000,2000,48,13,42035,727996
1000,2000,49,9,32373,550819
1000,10000,0,3,15354,103451
1000,10000,1,4,75147,71406
1000,10000,2,4,76036,80270
1000,10000,3,4,58766,60633
1000,10000,4,3,13185,77543
1000,10000,5,4,83913,69609
1000,10000,6,4,70884,74347
1000,10000,7,4,70393,74878
1000,10000,8,3,16467,86772
1000,10000,9,4,86705,67784
1000,10000,10,3,10293,69885
1000,10000,11,3,12353,80070
1000,10000,12,4,41836,44675
1000,10000,13,4,56460,60516
1000,10000,14,2,1578,85864
1000,10000,15,3,29317,60756
1000,10000,16,3,13345,65443
1000,10000,17,3,11897,72810
1000,10000,18,3,7715,56784
1000,10000,19,4,76153,80086
1000,10000,20,4,71583,89070
1000,10000,21,2,820,61989
1000,10000,22,3,9985,69564
1000,10000,23,3,14931,84441
1000,10000,24,3,23449,97181
1000,10000,25,4,71493,73843
1000,10000,26,3,8350,81208
1000,10000,27,3,8594,62017
1000,10000,28,4,53438,55693
1000,10000,29,4,83717,89270
1000,10000,30,4,52537,56611
1000,10000,31,4,69620,101548
1000,10000,32,2,1249,77270
1000,10000,33,4,69402,76894
1000,10000,34,4,59892,65544
1000,10000,35,3,14154,73919
1000,10000,36,4,43773,48285
1000,10000,37,3,37074,84673
1000,10000,38,3,17349,92771
1000,10000,39,3,8284,61969
1000,10000,40,4,66662,70566
1000,10000,41,2,1687,75498
1000,10000,42,3,10113,69339
1000,10000,43,4,101628,92701
1000,10000,44,2,1972,89488
1000,10000,45,2,1497,69900
1000,10000,46,3,11279,76802
1000,10000,47,3,14830,82327
1000,10000,48,4,67232,97735
1000,10000,49,3,17112,88431
1000,50000,0,2,10682,238514
1000,50000,1,2,12270,224185
1000,50000,2,2,39197,216248
1000,50000,3,2,10285,260895
1000,50000,4,2,12382,218520
1000,50000,5,2,38179,218542
1000,50000,6,2,12233,262000
1000,50000,7,2,9645,215260
1000,50000,8,2,12339,260087
1000,50000,9,2,16360,228641
1000,50000,10,2,10441,265203
1000,50000,11,2,8825,223111
1000,50000,12,2,13722,273872
1000,50000,13,2,12799,234605
1000,50000,14,3,208669,278327
1000,50000,15,2,12334,229415
1000,50000,16,3,220086,265642
1000,50000,17,2,10769,219593
1000,50000,18,2,12667,271870
1000,50000,19,2,11100,227489
1000,50000,20,2,8987,230996
1000,50000,21,2,10671,254443
1000,50000,22,2,11642,215777
1000,50000,23,2,12576,266268
1000,50000,24,2,12502,222312
1000,50000,25,2,11492,214886
1000,50000,26,3,252253,214544
1000,50000,27,2,11796,223415
1000,50000,28,2,12496,266472
1000,50000,29,2,11242,223836
1000,50000,30,1,344,263256
1000,50000,31,2,10323,220806
1000,50000,32,2,8767,226135
1000,50000,33,2,14464,269132
1000,50000,34,2,10035,220880
1000,50000,35,2,12978,274549
1000,50000,36,2,11000,230512
1000,50000,37,2,12293,229031
1000,50000,38,1,365,268019
1000,50000,39,2,12707,217846
1000,50000,40,1,367,236286
1000,50000,41,2,13601,290832
1000,50000,42,2,12422,298234
1000,50000,43,2,10225,370500
1000,50000,44,2,32836,318266
1000,50000,45,3,191776,272087
1000,50000,46,2,12807,239496
1000,50000,47,2,13389,298174
1000,50000,48,2,12729,235580
1000,50000,49,2,14284,220733
