Nodes,Edges,Attempt,Distance,Time,TransitiveTime
10,100,0,2,38524,42966
10,100,1,0,4,3
10,100,2,2,50179,11567
10,100,3,1,1316,16964
10,100,4,2,10864,19230
10,100,5,1,4430,9148
10,100,6,0,9,11
10,100,7,1,1902,18909
10,100,8,1,6493,15915
10,100,9,0,3,7
10,100,10,2,20021,12995
10,100,11,1,8136,10383
10,100,12,0,4,16
10,100,13,1,5020,16202
10,100,14,2,10575,14156
10,100,15,2,12881,10773
10,100,16,2,19072,20069
10,100,17,1,2141,10197
10,100,18,2,40825,17274
10,100,19,1,6014,10142
10,100,20,0,3,8
10,100,21,1,3209,16019
10,100,22,2,12560,22508
10,100,23,0,4,16
10,100,24,1,1156,9520
10,100,25,1,2899,9507
10,100,26,1,2742,10636
10,100,27,1,3804,15311
10,100,28,0,4,10
10,100,29,2,15199,8500
10,100,30,1,3007,4781
10,100,31,1,960,12090
10,100,32,2,13448,13613
10,100,33,2,15818,10976
10,100,34,1,1011,13096
10,100,35,2,7244,9703
10,100,36,2,11037,11063
10,100,37,1,2823,11584
10,100,38,0,3,10
10,100,39,1,2383,10751
10,100,40,1,3087,19435
10,100,41,2,8958,12101
10,100,42,1,9328,14197
10,100,43,2,47595,21259
10,100,44,1,4531,91255
10,100,45,1,774,33919
10,100,46,1,1110,23799
10,100,47,0,3,13
10,100,48,1,1949,19524
10,100,49,1,2842,4357
10,200,0,1,1593,11900
10,200,1,1,5332,11304
10,200,2,1,4830,14250
10,200,3,1,1465,17112
10,200,4,1,5226,11635
10,200,5,1,1079,5775
10,200,6,2,7711,11760
10,200,7,1,771,19160
10,200,8,1,2067,16367
10,200,9,1,3501,23382
10,200,10,1,1500,13878
10,200,11,1,3068,10628
10,200,12,1,1908,7468
10,200,13,2,13581,18670
10,200,14,1,2307,12404
10,200,15,1,354,20576
10,200,16,1,338,10893
10,200,17,1,409,15415
10,200,18,1,450,14465
10,200,19,1,345,24846
10,200,20,2,2111,14470
10,200,21,1,468,30963
10,200,22,2,7877,3789
10,200,23,1,668,8432
10,200,24,2,2413,2877
10,200,25,1,343,18941
10,200,26,1,2121,18420
10,200,27,0,3,13
10,200,28,2,25699,7492
10,200,29,2,5966,3683
10,200,30,1,622,2606
10,200,31,0,3,7
10,200,32,1,541,2558
10,200,33,1,285,1702
10,200,34,1,258,3833
10,200,35,1,1029,3553
10,200,36,1,497,2996
10,200,37,1,3282,3357
10,200,38,1,383,15065
10,200,39,1,4094,13968
10,200,40,2,18722,6796
10,200,41,1,946,19952
10,200,42,2,7069,6450
10,200,43,1,1511,15633
10,200,44,1,310,28590
10,200,45,2,16075,24110
10,200,46,0,3,7
10,200,47,1,1451,9462
10,200,48,0,3,8
10,200,49,1,1849,7408
10,1000,0,1,1363,97766
10,1000,1,1,9014,87968
10,1000,2,0,3,12
10,1000,3,1,445,50966
10,1000,4,1,1422,54517
10,1000,5,1,256,44621
10,1000,6,1,273,45403
10,1000,7,1,281,52705
10,1000,8,1,319,67810
10,1000,9,1,4966,23928
10,1000,10,1,2783,18990
10,1000,11,1,318,26899
10,1000,12,1,15887,15534
10,1000,13,1,926,18884
10,1000,14,1,5031,10869
10,1000,15,0,8,25
10,1000,16,1,1966,38244
10,1000,17,0,4,11
10,1000,18,1,893,17386
10,1000,19,1,2328,12636
10,1000,20,1,600,8438
10,1000,21,1,964,12063
10,1000,22,1,750,14681
10,1000,23,1,1233,8345
10,1000,24,1,381,13804
10,1000,25,1,1486,14676
10,1000,26,1,642,8060
10,1000,27,1,1563,2745
10,1000,28,1,2191,9101
10,1000,29,1,2964,20053
10,1000,30,1,505,2174
10,1000,31,1,234,11420
10,1000,32,1,630,6764
10,1000,33,1,381,15233
10,1000,34,1,1061,7890
10,1000,35,1,1000,10945
10,1000,36,0,3,13
10,1000,37,1,457,7581
10,1000,38,1,1954,11104
10,1000,39,1,4000,11334
10,1000,40,1,1557,12076
10,1000,41,1,779,20262
10,1000,42,1,477,8842
10,1000,43,1,1766,10141
10,1000,44,1,1151,6814
10,1000,45,0,3,6
10,1000,46,1,382,8557
10,1000,47,1,713,9533
10,1000,48,0,3,11
10,1000,49,1,1405,11528
[0m[0m
