Nodes,Edges,Attempt,Distance,Time,TransitiveTime
10,100,0,2,12663,2434
10,100,1,0,3398,3259
10,100,2,2,2774,822
10,100,3,1,995,634
10,100,4,2,2623,3161
10,100,5,1,1928,1805
10,100,6,0,2620,3501
10,100,7,1,448,348
10,100,8,1,288,268
10,100,9,0,267,266
10,100,10,2,279,5191
10,100,11,1,3154,2749
10,100,12,0,1995,1273
10,100,13,1,3806,3645
10,100,14,2,1740,763
10,100,15,2,1563,5038
10,100,16,2,1608,1485
10,100,17,1,938,2940
10,100,18,2,4768,4101
10,100,19,1,2667,3370
10,100,20,0,3750,674
10,100,21,1,769,900
10,100,22,2,1091,1547
10,100,23,0,2285,5456
10,100,24,1,3734,5371
10,100,25,1,2987,1473
10,100,26,1,6824,1315
10,100,27,1,1136,1836
10,100,28,0,868,2348
10,100,29,2,1586,2055
10,100,30,1,4037,2274
10,100,31,1,1781,3099
10,100,32,2,1735,1962
10,100,33,2,4060,4241
10,100,34,1,4075,10664
10,100,35,2,10437,3511
10,100,36,2,2339,1692
10,100,37,1,1128,602
10,100,38,0,540,943
10,100,39,1,1691,2506
10,100,40,1,1063,675
10,100,41,2,759,1337
10,100,42,1,2670,3064
10,100,43,2,900,1012
10,100,44,1,2956,2650
10,100,45,1,655,2315
10,100,46,1,772,620
10,100,47,0,694,413
10,100,48,1,296,572
10,100,49,1,522,407
10,200,0,1,3770,1914
10,200,1,1,1647,3247
10,200,2,1,3506,3301
10,200,3,1,1465,567
10,200,4,1,426,363
10,200,5,1,956,818
10,200,6,2,1073,2734
10,200,7,1,1626,708
10,200,8,1,509,1075
10,200,9,1,1206,1916
10,200,10,1,2365,1955
10,200,11,1,2797,2267
10,200,12,1,1014,1437
10,200,13,2,1378,1141
10,200,14,1,1557,1674
10,200,15,1,1120,756
10,200,16,1,781,2216
10,200,17,1,1055,546
10,200,18,1,416,854
10,200,19,1,913,1409
10,200,20,2,1012,460
10,200,21,1,305,602
10,200,22,2,490,498
10,200,23,1,406,520
10,200,24,2,371,338
10,200,25,1,476,3012
10,200,26,1,828,2904
10,200,27,0,1331,3017
10,200,28,2,1896,817
10,200,29,2,1050,440
10,200,30,1,538,406
10,200,31,0,275,326
10,200,32,1,270,1251
10,200,33,1,961,799
10,200,34,1,945,562
10,200,35,1,738,633
10,200,36,1,735,442
10,200,37,1,505,695
10,200,38,1,2569,3422
10,200,39,1,6322,12171
10,200,40,2,945,7194
10,200,41,1,2594,1093
10,200,42,2,2927,887
10,200,43,1,370,451
10,200,44,1,112606,557
10,200,45,2,258,30215
10,200,46,0,447,186
10,200,47,1,27671,493
10,200,48,0,243,165
10,200,49,1,163,179
10,1000,0,1,23662,16597
10,1000,1,1,9763,49099
10,1000,2,0,5370,21363
10,1000,3,1,613,357
10,1000,4,1,52729,599
10,1000,5,1,247,159
10,1000,6,1,138,159
10,1000,7,1,139,173
10,1000,8,1,152,135
10,1000,9,1,130,53743
10,1000,10,1,574,252
10,1000,11,1,22693,16372
10,1000,12,1,649,39624
10,1000,13,1,576,231
10,1000,14,1,164,210
10,1000,15,0,186,173
10,1000,16,1,166,161
10,1000,17,0,285,187
10,1000,18,1,203,220
10,1000,19,1,216,225
10,1000,20,1,206,199
10,1000,21,1,212,199
10,1000,22,1,180,170
10,1000,23,1,188,162
10,1000,24,1,157,151
10,1000,25,1,155,185
10,1000,26,1,267,217
10,1000,27,1,177,241
10,1000,28,1,185,171
10,1000,29,1,171,166
10,1000,30,1,172,160
10,1000,31,1,138,166
10,1000,32,1,149,157
10,1000,33,1,151,141
10,1000,34,1,156,212
10,1000,35,1,169,177
10,1000,36,0,164,140
10,1000,37,1,192,225
10,1000,38,1,128,145
10,1000,39,1,143,132
10,1000,40,1,168,163
10,1000,41,1,137,131
10,1000,42,1,129,138
10,1000,43,1,152,209
10,1000,44,1,171,185
10,1000,45,0,187,162
10,1000,46,1,207,188
10,1000,47,1,185,194
10,1000,48,0,181,167
10,1000,49,1,211,182
[0m[0m
