Nodes,Edges,Attempt,Distance,Time,TransitiveTime
10,100,0,2,202968,58632
10,100,1,0,9,6
10,100,2,2,206523,41048
10,100,3,1,30205,82201
10,100,4,2,184558,69078
10,100,5,1,36515,56538
10,100,6,0,7,10
10,100,7,1,28684,64230
10,100,8,1,33530,69509
10,100,9,0,2,3
10,100,10,2,198348,79565
10,100,11,1,28383,49830
10,100,12,0,11,16
10,100,13,1,28439,50476
10,100,14,2,115161,39280
10,100,15,2,205737,39611
10,100,16,2,179563,70233
10,100,17,1,31708,48052
10,100,18,2,171495,55990
10,100,19,1,31273,70437
10,100,20,0,11,18
10,100,21,1,26878,93474
10,100,22,2,166788,42108
10,100,23,0,1,2
10,100,24,1,26574,54060
10,100,25,1,32976,78595
10,100,26,1,31532,63667
10,100,27,1,29030,94957
10,100,28,0,8,13
10,100,29,2,215864,81273
10,100,30,1,36909,136789
10,100,31,1,29867,79697
10,100,32,2,132850,127797
10,100,33,2,227373,110912
10,100,34,1,37664,74174
10,100,35,2,129890,49892
10,100,36,2,170594,81601
10,100,37,1,26202,75117
10,100,38,0,3,5
10,100,39,1,27334,72716
10,100,40,1,67069,212610
10,100,41,2,206157,107188
10,100,42,1,61246,206099
10,100,43,2,366387,96013
10,100,44,1,28552,104042
10,100,45,1,27958,66727
10,100,46,1,28817,118037
10,100,47,0,13,42
10,100,48,1,29895,84032
10,100,49,1,28712,113976
10,200,0,1,29766,62312
10,200,1,1,31587,113106
10,200,2,1,28511,96725
10,200,3,1,27475,82501
10,200,4,1,37707,67784
10,200,5,1,37605,87808
10,200,6,2,266790,89875
10,200,7,1,26707,60060
10,200,8,1,28506,59970
10,200,9,1,27017,64740
10,200,10,1,26754,96020
10,200,11,1,29462,88117
10,200,12,1,33373,89764
10,200,13,2,231431,46579
10,200,14,1,28537,41903
10,200,15,1,29633,48853
10,200,16,1,31429,128071
10,200,17,1,27681,93437
10,200,18,1,29781,84921
10,200,19,1,27220,56329
10,200,20,2,213075,48710
10,200,21,1,34345,55424
10,200,22,2,198430,48711
10,200,23,1,32589,80570
10,200,24,2,225419,62048
10,200,25,1,27298,59141
10,200,26,1,31669,43488
10,200,27,0,5,15
10,200,28,2,199174,42754
10,200,29,2,266983,60109
10,200,30,1,32035,55980
10,200,31,0,6,18
10,200,32,1,28123,48617
10,200,33,1,29731,81219
10,200,34,1,31837,45016
10,200,35,1,28409,53131
10,200,36,1,27694,53192
10,200,37,1,30020,51967
10,200,38,1,29765,49961
10,200,39,1,27431,45132
10,200,40,2,223871,41789
10,200,41,1,27003,65306
10,200,42,2,277204,81580
10,200,43,1,29437,80935
10,200,44,1,28033,59334
10,200,45,2,256380,44555
10,200,46,0,7,14
10,200,47,1,27518,36655
10,200,48,0,1,3
10,200,49,1,27851,52584
10,1000,0,1,28614,55017
10,1000,1,1,27078,99140
10,1000,2,0,10,52
10,1000,3,1,28776,37740
10,1000,4,1,31038,55789
10,1000,5,1,30204,37534
10,1000,6,1,27924,36561
10,1000,7,1,28810,104334
10,1000,8,1,28493,78199
10,1000,9,1,36494,55068
10,1000,10,1,27798,38569
10,1000,11,1,27546,43267
10,1000,12,1,27149,86851
10,1000,13,1,31163,58557
10,1000,14,1,32828,44135
10,1000,15,0,10,26
10,1000,16,1,39071,79552
10,1000,17,0,6,25
10,1000,18,1,28667,52335
10,1000,19,1,29283,58915
10,1000,20,1,29463,58271
10,1000,21,1,31117,53041
10,1000,22,1,28160,46290
10,1000,23,1,33982,39915
10,1000,24,1,28197,52567
10,1000,25,1,29166,54111
10,1000,26,1,27662,49244
10,1000,27,1,27213,51495
10,1000,28,1,26267,42781
10,1000,29,1,27947,49685
10,1000,30,1,27143,78115
10,1000,31,1,26849,62876
10,1000,32,1,28144,69305
10,1000,33,1,31846,85738
10,1000,34,1,26171,65744
10,1000,35,1,28459,41663
10,1000,36,0,1,5
10,1000,37,1,28682,50650
10,1000,38,1,27260,52298
10,1000,39,1,28184,52231
10,1000,40,1,29997,45324
10,1000,41,1,29249,71149
10,1000,42,1,30192,88051
10,1000,43,1,34400,63167
10,1000,44,1,27655,39984
10,1000,45,0,4,9
10,1000,46,1,28024,60609
10,1000,47,1,26843,52029
10,1000,48,0,5,21
10,1000,49,1,32012,49883
