[INFO] Scanning for projects...
[INFO] 
[INFO] --------------< cz.cuni.mff.d3s.nswi080.anomaly:anomaly >---------------
[INFO] Building anomaly 1.0-SNAPSHOT
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.0.0:java (monitor) @ anomaly ---
2025-05-02 20:05:47.926 monitor [alpha]: measured 0.0
2025-05-02 20:05:51.280 monitor [alpha]: measured 0.0
2025-05-02 20:05:54.288 monitor [alpha]: measured 0.0
2025-05-02 20:05:57.294 monitor [alpha]: measured 0.0
2025-05-02 20:06:00.306 monitor [alpha]: measured 0.0
2025-05-02 20:06:03.316 monitor [alpha]: measured 0.0
2025-05-02 20:06:06.324 monitor [alpha]: measured 0.0
2025-05-02 20:06:09.334 monitor [alpha]: measured 0.0
2025-05-02 20:06:12.342 monitor [alpha]: measured 0.0
2025-05-02 20:06:15.352 monitor [alpha]: measured 0.0
2025-05-02 20:06:18.362 monitor [alpha]: measured 0.0
2025-05-02 20:06:21.373 monitor [alpha]: measured 0.0
2025-05-02 20:06:24.377 monitor [alpha]: measured 0.0
2025-05-02 20:06:27.389 monitor [alpha]: measured 0.0
2025-05-02 20:06:30.398 monitor [alpha]: measured 0.0
2025-05-02 20:06:33.406 monitor [alpha]: measured 0.0
2025-05-02 20:06:36.414 monitor [alpha]: measured 0.0
2025-05-02 20:06:39.423 monitor [alpha]: measured 0.0
2025-05-02 20:06:42.433 monitor [alpha]: measured 0.0
2025-05-02 20:06:45.443 monitor [alpha]: measured 0.0
2025-05-02 20:06:48.454 monitor [alpha]: measured 0.0
2025-05-02 20:06:51.465 monitor [alpha]: measured 0.0
2025-05-02 20:06:54.475 monitor [alpha]: measured 0.0
2025-05-02 20:06:57.481 monitor [alpha]: measured 0.0
2025-05-02 20:07:00.492 monitor [alpha]: measured 0.0
2025-05-02 20:07:03.503 monitor [alpha]: measured 0.0
2025-05-02 20:07:06.510 monitor [alpha]: measured 0.0
2025-05-02 20:07:09.523 monitor [alpha]: measured 0.0
2025-05-02 20:07:12.533 monitor [alpha]: measured 0.0
2025-05-02 20:07:15.541 monitor [alpha]: measured 0.0
2025-05-02 20:07:18.547 monitor [alpha]: measured 0.0
2025-05-02 20:07:21.555 monitor [alpha]: measured 0.0
2025-05-02 20:07:24.567 monitor [alpha]: measured 0.0
2025-05-02 20:07:27.577 monitor [alpha]: measured 0.0
2025-05-02 20:07:30.583 monitor [alpha]: measured 0.0
2025-05-02 20:07:33.593 monitor [alpha]: measured 0.0
2025-05-02 20:07:36.597 monitor [alpha]: measured 0.0
2025-05-02 20:07:39.608 monitor [alpha]: measured 0.0
2025-05-02 20:07:42.617 monitor [alpha]: measured 0.0
2025-05-02 20:07:45.624 monitor [alpha]: measured 0.0
2025-05-02 20:07:48.630 monitor [alpha]: measured 0.0
2025-05-02 20:07:51.637 monitor [alpha]: measured 0.0
2025-05-02 20:07:54.648 monitor [alpha]: measured 0.0
2025-05-02 20:07:57.657 monitor [alpha]: measured 0.0
2025-05-02 20:08:00.663 monitor [alpha]: measured 0.0
2025-05-02 20:08:03.671 monitor [alpha]: measured 0.0
2025-05-02 20:08:06.682 monitor [alpha]: measured 0.0
2025-05-02 20:08:09.692 monitor [alpha]: measured 0.0
2025-05-02 20:08:12.698 monitor [alpha]: measured 0.0
2025-05-02 20:08:15.705 monitor [alpha]: measured 0.0
2025-05-02 20:08:18.712 monitor [alpha]: measured 0.0
2025-05-02 20:08:21.716 monitor [alpha]: measured 0.0
2025-05-02 20:08:24.725 monitor [alpha]: measured 0.0
2025-05-02 20:08:27.732 monitor [alpha]: measured 0.0
2025-05-02 20:08:30.733 monitor [alpha]: measured 0.0
2025-05-02 20:08:33.740 monitor [alpha]: measured 0.0
2025-05-02 20:08:36.747 monitor [alpha]: measured 0.0
2025-05-02 20:08:39.755 monitor [alpha]: measured 0.0
2025-05-02 20:08:42.761 monitor [alpha]: measured 0.0
2025-05-02 20:08:45.768 monitor [alpha]: measured 0.0
2025-05-02 20:08:48.775 monitor [alpha]: measured 0.0
2025-05-02 20:08:51.780 monitor [alpha]: measured 0.0
2025-05-02 20:08:54.790 monitor [alpha]: measured 0.0
2025-05-02 20:08:57.798 monitor [alpha]: measured 0.0
2025-05-02 20:09:00.808 monitor [alpha]: measured 0.0
2025-05-02 20:09:03.817 monitor [alpha]: measured 0.0
2025-05-02 20:09:06.824 monitor [alpha]: measured 0.0
2025-05-02 20:09:09.833 monitor [alpha]: measured 0.0
2025-05-02 20:09:12.839 monitor [alpha]: measured 0.0
2025-05-02 20:09:15.847 monitor [alpha]: measured 0.0
2025-05-02 20:09:18.853 monitor [alpha]: measured 0.0
2025-05-02 20:09:21.859 monitor [alpha]: measured 0.0
2025-05-02 20:09:24.865 monitor [alpha]: measured 0.0
2025-05-02 20:09:27.872 monitor [alpha]: measured 0.0
2025-05-02 20:09:30.875 monitor [alpha]: measured 0.0
2025-05-02 20:09:33.878 monitor [alpha]: measured 0.0
2025-05-02 20:09:36.883 monitor [alpha]: measured 0.0
2025-05-02 20:09:39.890 monitor [alpha]: measured 0.0
2025-05-02 20:09:42.891 monitor [alpha]: measured 0.0
2025-05-02 20:09:45.898 monitor [alpha]: measured 0.0
2025-05-02 20:09:48.903 monitor [alpha]: measured 0.0
2025-05-02 20:09:51.908 monitor [alpha]: measured 0.0
2025-05-02 20:09:54.915 monitor [alpha]: measured 0.0
2025-05-02 20:09:57.922 monitor [alpha]: measured 0.0
2025-05-02 20:10:00.929 monitor [alpha]: measured 0.0
2025-05-02 20:10:03.938 monitor [alpha]: measured 0.0
2025-05-02 20:10:06.944 monitor [alpha]: measured 0.0
2025-05-02 20:10:09.950 monitor [alpha]: measured 0.0
2025-05-02 20:10:12.952 monitor [alpha]: measured 0.0
2025-05-02 20:10:15.958 monitor [alpha]: measured 0.0
2025-05-02 20:10:18.961 monitor [alpha]: measured -1.1858887618469816E-157
2025-05-02 20:10:21.966 monitor [alpha]: measured 0.0
2025-05-02 20:10:24.974 monitor [alpha]: measured 0.0
2025-05-02 20:10:27.981 monitor [alpha]: measured 0.0
2025-05-02 20:10:30.988 monitor [alpha]: measured 0.0
2025-05-02 20:10:33.999 monitor [alpha]: measured 0.0
2025-05-02 20:10:37.006 monitor [alpha]: measured 3.392325455688531E-139
2025-05-02 20:10:40.013 monitor [alpha]: measured 0.0
2025-05-02 20:10:43.018 monitor [alpha]: measured 0.0
2025-05-02 20:10:46.025 monitor [alpha]: measured 0.0
2025-05-02 20:10:49.032 monitor [alpha]: measured 0.0
2025-05-02 20:10:52.034 monitor [alpha]: measured 0.0
2025-05-02 20:10:55.041 monitor [alpha]: measured 0.0
2025-05-02 20:10:58.047 monitor [alpha]: measured 0.0
2025-05-02 20:11:01.053 monitor [alpha]: measured -1.432158912712051E289
2025-05-02 20:11:04.062 monitor [alpha]: measured 0.0
2025-05-02 20:11:07.067 monitor [alpha]: measured 0.0
2025-05-02 20:11:10.077 monitor [alpha]: measured 0.0
2025-05-02 20:11:13.086 monitor [alpha]: measured 0.0
2025-05-02 20:11:16.088 monitor [alpha]: measured 0.0
2025-05-02 20:11:19.094 monitor [alpha]: measured 0.0
2025-05-02 20:11:22.100 monitor [alpha]: measured 0.0
2025-05-02 20:11:25.108 monitor [alpha]: measured 0.0
2025-05-02 20:11:28.117 monitor [alpha]: measured 0.0
2025-05-02 20:11:31.125 monitor [alpha]: measured 0.0
2025-05-02 20:11:34.132 monitor [alpha]: measured 0.0
2025-05-02 20:11:37.137 monitor [alpha]: measured 0.0
2025-05-02 20:11:40.140 monitor [alpha]: measured 0.0
2025-05-02 20:11:43.149 monitor [alpha]: measured -4.850186759474362E302
2025-05-02 20:11:46.154 monitor [alpha]: measured 0.0
2025-05-02 20:11:49.163 monitor [alpha]: measured 0.0
2025-05-02 20:11:52.169 monitor [alpha]: measured 0.0
2025-05-02 20:11:55.182 monitor [alpha]: measured 0.0
2025-05-02 20:11:58.191 monitor [alpha]: measured 0.0
2025-05-02 20:12:01.199 monitor [alpha]: measured 0.0
2025-05-02 20:12:04.206 monitor [alpha]: measured 0.0
2025-05-02 20:12:07.214 monitor [alpha]: measured 0.0
2025-05-02 20:12:10.225 monitor [alpha]: measured 0.0
2025-05-02 20:12:13.231 monitor [alpha]: measured 0.0
2025-05-02 20:12:16.236 monitor [alpha]: measured 0.0
2025-05-02 20:12:19.243 monitor [alpha]: measured 0.0
2025-05-02 20:12:22.252 monitor [alpha]: measured 0.0
2025-05-02 20:12:25.261 monitor [alpha]: measured 0.0
2025-05-02 20:12:28.272 monitor [alpha]: measured 0.0
2025-05-02 20:12:31.278 monitor [alpha]: measured 0.0
2025-05-02 20:12:34.287 monitor [alpha]: measured 0.0
2025-05-02 20:12:37.295 monitor [alpha]: measured 0.0
2025-05-02 20:12:40.303 monitor [alpha]: measured 0.0
2025-05-02 20:12:43.311 monitor [alpha]: measured 0.0
2025-05-02 20:12:46.317 monitor [alpha]: measured 0.0
2025-05-02 20:12:49.323 monitor [alpha]: measured 0.0
2025-05-02 20:12:52.330 monitor [alpha]: measured 0.0
2025-05-02 20:12:55.340 monitor [alpha]: measured 0.0
2025-05-02 20:12:58.345 monitor [alpha]: measured 2.7761118625278064E-106
2025-05-02 20:13:01.355 monitor [alpha]: measured 0.0
2025-05-02 20:13:04.362 monitor [alpha]: measured 0.0
2025-05-02 20:13:07.368 monitor [alpha]: measured 0.0
2025-05-02 20:13:10.374 monitor [alpha]: measured 0.0
2025-05-02 20:13:13.384 monitor [alpha]: measured 0.0
2025-05-02 20:13:16.394 monitor [alpha]: measured 0.0
2025-05-02 20:13:19.402 monitor [alpha]: measured 0.0
2025-05-02 20:13:22.405 monitor [alpha]: measured 0.0
2025-05-02 20:13:25.412 monitor [alpha]: measured 0.0
2025-05-02 20:13:28.420 monitor [alpha]: measured 0.0
2025-05-02 20:13:31.427 monitor [alpha]: measured 1.3603572920004239E244
2025-05-02 20:13:34.433 monitor [alpha]: measured 0.0
2025-05-02 20:13:37.442 monitor [alpha]: measured 0.0
2025-05-02 20:13:40.451 monitor [alpha]: measured 0.0
2025-05-02 20:13:43.454 monitor [alpha]: measured 0.0
2025-05-02 20:13:46.460 monitor [alpha]: measured 0.0
2025-05-02 20:13:49.467 monitor [alpha]: measured 0.0
2025-05-02 20:13:52.469 monitor [alpha]: measured 0.0
2025-05-02 20:13:55.470 monitor [alpha]: measured 0.0
2025-05-02 20:13:58.476 monitor [alpha]: measured 0.0
2025-05-02 20:14:01.481 monitor [alpha]: measured 0.0
2025-05-02 20:14:04.484 monitor [alpha]: measured 0.0
2025-05-02 20:14:07.488 monitor [alpha]: measured 0.0
2025-05-02 20:14:10.494 monitor [alpha]: measured 0.0
2025-05-02 20:14:13.499 monitor [alpha]: measured 0.0
2025-05-02 20:14:16.506 monitor [alpha]: measured 0.0
2025-05-02 20:14:19.513 monitor [alpha]: measured 0.0
2025-05-02 20:14:22.521 monitor [alpha]: measured 0.0
2025-05-02 20:14:25.525 monitor [alpha]: measured 0.0
2025-05-02 20:14:28.532 monitor [alpha]: measured 0.0
2025-05-02 20:14:31.537 monitor [alpha]: measured 0.0
2025-05-02 20:14:34.543 monitor [alpha]: measured 0.0
2025-05-02 20:14:37.548 monitor [alpha]: measured 0.0
2025-05-02 20:14:40.560 monitor [alpha]: measured 0.0
2025-05-02 20:14:43.571 monitor [alpha]: measured 0.0
2025-05-02 20:14:46.574 monitor [alpha]: measured 0.0
2025-05-02 20:14:49.580 monitor [alpha]: measured 0.0
