[INFO] Scanning for projects...
[INFO] 
[INFO] --------------< cz.cuni.mff.d3s.nswi080.anomaly:anomaly >---------------
[INFO] Building anomaly 1.0-SNAPSHOT
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.0.0:java (monitor) @ anomaly ---
2025-05-02 20:05:55.072 monitor [bravo]: measured 0.0
2025-05-02 20:05:58.285 monitor [bravo]: measured 0.0
2025-05-02 20:06:01.294 monitor [bravo]: measured 0.0
2025-05-02 20:06:04.300 monitor [bravo]: measured -2.929366070157383E-30
2025-05-02 20:06:07.303 monitor [bravo]: measured 0.0
2025-05-02 20:06:10.310 monitor [bravo]: measured 0.0
2025-05-02 20:06:13.317 monitor [bravo]: measured 0.0
2025-05-02 20:06:16.329 monitor [bravo]: measured 0.0
2025-05-02 20:06:19.339 monitor [bravo]: measured 0.0
2025-05-02 20:06:22.350 monitor [bravo]: measured 0.0
2025-05-02 20:06:25.364 monitor [bravo]: measured 0.0
2025-05-02 20:06:28.375 monitor [bravo]: measured 0.0
2025-05-02 20:06:31.384 monitor [bravo]: measured 0.0
2025-05-02 20:06:34.393 monitor [bravo]: measured 0.0
2025-05-02 20:06:37.406 monitor [bravo]: measured 0.0
2025-05-02 20:06:40.414 monitor [bravo]: measured 0.0
2025-05-02 20:06:43.423 monitor [bravo]: measured 0.0
2025-05-02 20:06:46.432 monitor [bravo]: measured 0.0
2025-05-02 20:06:49.443 monitor [bravo]: measured 0.0
2025-05-02 20:06:52.451 monitor [bravo]: measured 0.0
2025-05-02 20:06:55.462 monitor [bravo]: measured 0.0
2025-05-02 20:06:58.472 monitor [bravo]: measured 0.0
2025-05-02 20:07:01.479 monitor [bravo]: measured 0.0
2025-05-02 20:07:04.490 monitor [bravo]: measured 0.0
2025-05-02 20:07:07.497 monitor [bravo]: measured 0.0
2025-05-02 20:07:10.502 monitor [bravo]: measured 0.0
2025-05-02 20:07:13.514 monitor [bravo]: measured 3.9236994837962526E-201
2025-05-02 20:07:16.524 monitor [bravo]: measured 0.0
2025-05-02 20:07:19.535 monitor [bravo]: measured 0.0
2025-05-02 20:07:22.545 monitor [bravo]: measured 0.0
2025-05-02 20:07:25.552 monitor [bravo]: measured 0.0
2025-05-02 20:07:28.560 monitor [bravo]: measured 0.0
2025-05-02 20:07:31.564 monitor [bravo]: measured 0.0
2025-05-02 20:07:34.573 monitor [bravo]: measured 0.0
2025-05-02 20:07:37.579 monitor [bravo]: measured 0.0
2025-05-02 20:07:40.582 monitor [bravo]: measured 0.0
2025-05-02 20:07:43.590 monitor [bravo]: measured 0.0
2025-05-02 20:07:46.596 monitor [bravo]: measured -1.013962379464621E-268
2025-05-02 20:07:49.607 monitor [bravo]: measured 0.0
2025-05-02 20:07:52.619 monitor [bravo]: measured 0.0
2025-05-02 20:07:55.625 monitor [bravo]: measured 0.0
2025-05-02 20:07:58.634 monitor [bravo]: measured 0.0
2025-05-02 20:08:01.640 monitor [bravo]: measured 0.0
2025-05-02 20:08:04.647 monitor [bravo]: measured 0.0
2025-05-02 20:08:07.655 monitor [bravo]: measured 0.0
2025-05-02 20:08:10.661 monitor [bravo]: measured 0.0
2025-05-02 20:08:13.669 monitor [bravo]: measured 0.0
2025-05-02 20:08:16.675 monitor [bravo]: measured 0.0
2025-05-02 20:08:19.684 monitor [bravo]: measured 0.0
2025-05-02 20:08:22.690 monitor [bravo]: measured 0.0
2025-05-02 20:08:25.692 monitor [bravo]: measured 0.0
2025-05-02 20:08:28.699 monitor [bravo]: measured 0.0
2025-05-02 20:08:31.705 monitor [bravo]: measured 0.0
2025-05-02 20:08:34.716 monitor [bravo]: measured 0.0
2025-05-02 20:08:37.723 monitor [bravo]: measured 0.0
2025-05-02 20:08:40.726 monitor [bravo]: measured 0.0
2025-05-02 20:08:43.738 monitor [bravo]: measured 0.0
2025-05-02 20:08:46.742 monitor [bravo]: measured 0.0
2025-05-02 20:08:49.750 monitor [bravo]: measured 0.0
2025-05-02 20:08:52.756 monitor [bravo]: measured 0.0
2025-05-02 20:08:55.762 monitor [bravo]: measured 0.0
2025-05-02 20:08:58.768 monitor [bravo]: measured 0.0
2025-05-02 20:09:01.776 monitor [bravo]: measured 0.0
2025-05-02 20:09:04.790 monitor [bravo]: measured 0.0
2025-05-02 20:09:07.795 monitor [bravo]: measured 0.0
2025-05-02 20:09:10.798 monitor [bravo]: measured 0.0
2025-05-02 20:09:13.802 monitor [bravo]: measured 0.0
2025-05-02 20:09:16.808 monitor [bravo]: measured 0.0
2025-05-02 20:09:19.819 monitor [bravo]: measured 0.0
2025-05-02 20:09:22.824 monitor [bravo]: measured 0.0
2025-05-02 20:09:25.830 monitor [bravo]: measured 0.0
2025-05-02 20:09:28.836 monitor [bravo]: measured 0.0
2025-05-02 20:09:31.847 monitor [bravo]: measured 0.0
2025-05-02 20:09:34.857 monitor [bravo]: measured 0.0
2025-05-02 20:09:37.859 monitor [bravo]: measured 0.0
2025-05-02 20:09:40.865 monitor [bravo]: measured 0.0
2025-05-02 20:09:43.869 monitor [bravo]: measured 0.0
2025-05-02 20:09:46.871 monitor [bravo]: measured 0.0
2025-05-02 20:09:49.877 monitor [bravo]: measured 0.0
2025-05-02 20:09:52.879 monitor [bravo]: measured 0.0
2025-05-02 20:09:55.887 monitor [bravo]: measured 0.0
2025-05-02 20:09:58.907 monitor [bravo]: measured 0.0
2025-05-02 20:10:01.913 monitor [bravo]: measured 0.0
2025-05-02 20:10:04.920 monitor [bravo]: measured 0.0
2025-05-02 20:10:07.927 monitor [bravo]: measured 0.0
2025-05-02 20:10:10.934 monitor [bravo]: measured 0.0
2025-05-02 20:10:13.940 monitor [bravo]: measured 0.0
2025-05-02 20:10:16.946 monitor [bravo]: measured 0.0
2025-05-02 20:10:19.951 monitor [bravo]: measured 0.0
2025-05-02 20:10:22.956 monitor [bravo]: measured 0.0
2025-05-02 20:10:25.963 monitor [bravo]: measured 0.0
2025-05-02 20:10:28.970 monitor [bravo]: measured 0.0
2025-05-02 20:10:31.976 monitor [bravo]: measured 0.0
2025-05-02 20:10:34.983 monitor [bravo]: measured 0.0
2025-05-02 20:10:37.987 monitor [bravo]: measured 0.0
2025-05-02 20:10:40.995 monitor [bravo]: measured 0.0
2025-05-02 20:10:44.004 monitor [bravo]: measured 0.0
2025-05-02 20:10:47.006 monitor [bravo]: measured 0.0
2025-05-02 20:10:50.016 monitor [bravo]: measured 0.0
2025-05-02 20:10:53.019 monitor [bravo]: measured 0.0
2025-05-02 20:10:56.022 monitor [bravo]: measured 0.0
2025-05-02 20:10:59.029 monitor [bravo]: measured 0.0
2025-05-02 20:11:02.033 monitor [bravo]: measured 0.0
2025-05-02 20:11:05.041 monitor [bravo]: measured 0.0
2025-05-02 20:11:08.046 monitor [bravo]: measured 0.0
2025-05-02 20:11:11.055 monitor [bravo]: measured 0.0
2025-05-02 20:11:14.068 monitor [bravo]: measured 0.0
2025-05-02 20:11:17.074 monitor [bravo]: measured 0.0
2025-05-02 20:11:20.081 monitor [bravo]: measured 0.0
2025-05-02 20:11:23.088 monitor [bravo]: measured 0.0
2025-05-02 20:11:26.091 monitor [bravo]: measured 0.0
2025-05-02 20:11:29.093 monitor [bravo]: measured 0.0
2025-05-02 20:11:32.098 monitor [bravo]: measured 0.0
2025-05-02 20:11:35.104 monitor [bravo]: measured 0.0
2025-05-02 20:11:38.112 monitor [bravo]: measured 0.0
2025-05-02 20:11:41.122 monitor [bravo]: measured 0.0
2025-05-02 20:11:44.129 monitor [bravo]: measured 0.0
2025-05-02 20:11:47.134 monitor [bravo]: measured 0.0
2025-05-02 20:11:50.140 monitor [bravo]: measured 0.0
2025-05-02 20:11:53.150 monitor [bravo]: measured 0.0
2025-05-02 20:11:56.152 monitor [bravo]: measured 0.0
2025-05-02 20:11:59.161 monitor [bravo]: measured 0.0
2025-05-02 20:12:02.165 monitor [bravo]: measured 5.500544668978161E-103
2025-05-02 20:12:05.171 monitor [bravo]: measured 0.0
2025-05-02 20:12:08.177 monitor [bravo]: measured 0.0
2025-05-02 20:12:11.188 monitor [bravo]: measured 0.0
2025-05-02 20:12:14.204 monitor [bravo]: measured 0.0
2025-05-02 20:12:17.211 monitor [bravo]: measured 0.0
2025-05-02 20:12:20.222 monitor [bravo]: measured 0.0
2025-05-02 20:12:23.231 monitor [bravo]: measured 0.0
2025-05-02 20:12:26.237 monitor [bravo]: measured 0.0
2025-05-02 20:12:29.248 monitor [bravo]: measured 0.0
2025-05-02 20:12:32.257 monitor [bravo]: measured 0.0
2025-05-02 20:12:35.263 monitor [bravo]: measured 0.0
2025-05-02 20:12:38.271 monitor [bravo]: measured 0.0
2025-05-02 20:12:41.281 monitor [bravo]: measured 0.0
2025-05-02 20:12:44.291 monitor [bravo]: measured 0.0
2025-05-02 20:12:47.297 monitor [bravo]: measured 0.0
2025-05-02 20:12:50.303 monitor [bravo]: measured 0.0
2025-05-02 20:12:53.311 monitor [bravo]: measured 0.0
2025-05-02 20:12:56.320 monitor [bravo]: measured 0.0
2025-05-02 20:12:59.331 monitor [bravo]: measured 0.0
2025-05-02 20:13:02.341 monitor [bravo]: measured 0.0
2025-05-02 20:13:05.347 monitor [bravo]: measured 0.0
2025-05-02 20:13:08.356 monitor [bravo]: measured 0.0
2025-05-02 20:13:11.365 monitor [bravo]: measured 0.0
2025-05-02 20:13:14.372 monitor [bravo]: measured 0.0
2025-05-02 20:13:17.377 monitor [bravo]: measured 0.0
2025-05-02 20:13:20.385 monitor [bravo]: measured 0.0
2025-05-02 20:13:23.389 monitor [bravo]: measured 0.0
2025-05-02 20:13:26.398 monitor [bravo]: measured 0.0
2025-05-02 20:13:29.406 monitor [bravo]: measured 0.0
2025-05-02 20:13:32.409 monitor [bravo]: measured 0.0
2025-05-02 20:13:35.412 monitor [bravo]: measured 0.0
2025-05-02 20:13:38.418 monitor [bravo]: measured 0.0
2025-05-02 20:13:41.427 monitor [bravo]: measured 0.0
2025-05-02 20:13:44.434 monitor [bravo]: measured 0.0
2025-05-02 20:13:47.440 monitor [bravo]: measured 0.0
2025-05-02 20:13:50.448 monitor [bravo]: measured 0.0
2025-05-02 20:13:53.453 monitor [bravo]: measured 0.0
2025-05-02 20:13:56.456 monitor [bravo]: measured 0.0
2025-05-02 20:13:59.464 monitor [bravo]: measured 0.0
2025-05-02 20:14:02.474 monitor [bravo]: measured 0.0
2025-05-02 20:14:05.483 monitor [bravo]: measured 0.0
2025-05-02 20:14:08.493 monitor [bravo]: measured 0.0
