ObjectType		Count	Size(Bytes) InclusiveSize(Bytes)
WeakReference<EventSource>	5	120	120
XmlTextReaderImpl+NodeData	1	128	128
XmlSchemaInfo	3	192	192
WeakReference<FileSystemWatcher>	1	24	24
WeakReference<AssemblyLoadContext>	1	24	24
Version	1	32	32
ValueTuple<Int64, DateTime>	1	32	32
ValueTask+ValueTaskSourceAsTask<Int32>	1	80	432
ValueTask+ValueTaskSourceAsTask+<>c<Int32>	1	24	24
ValueTask+ValueTaskSourceAsTask+<>c	1	24	24
UTF8Encoding+UTF8EncodingSealed	2	96	192
UTF8Encoding	2	96	96
UriParser+BuiltInUriParser	17	648	648
UnwrapPromise<VoidTaskResult>	1	72	72
Type+<>c	1	24	24
TraceLoggingEventHandleTable	5	640	640
TplEventSource	1	33872	47616
TlsOverPerCoreLockedStacksArrayPool<Char>	1	608	608
TlsOverPerCoreLockedStacksArrayPool<Byte>	1	608	608
TlsOverPerCoreLockedStacksArrayPool+<>c<Char>	1	24	24
TlsOverPerCoreLockedStacksArrayPool+<>c<Byte>	1	24	24
TimeZoneInfo+CachedData	1	56	912
TimeZoneInfo+AdjustmentRule	1	88	88
TimeZoneInfo	3	832	920
TimeSpan	7	168	168
TimerQueueTimer	1	96	160
TimerQueue	12	960	960
TimerHolder	1	24	184
TimerCallback	1	64	64
Timer	1	24	208
ThreadStart	1	64	64
ThreadPoolWorkQueueThreadLocals	4	224	416
ThreadPoolWorkQueue+WorkStealingQueue	4	1312	1312
ThreadPoolWorkQueue	1	168	1832
ThreadPoolTaskScheduler	1	24	24
ThreadPoolBoundHandleOverlapped	3	216	368
ThreadPoolBoundHandle	2	64	64
ThreadPool+<>c	1	24	24
ThreadInt64PersistentCounter+ThreadLocalNodeFinalizationHelper	4	96	96
ThreadInt64PersistentCounter+ThreadLocalNode	4	128	128
ThreadInt64PersistentCounter	1	32	288
Thread	6	568	568
TextWriter+SyncTextWriter	1	48	840
TextWriter+NullTextWriter	1	40	40
TextInfo	2	128	128
TaskFactory<Task>	1	40	40
TaskFactory	1	40	40
TaskAwaiter+<>c	1	24	24
Task<VoidTaskResult>	1	72	72
Task<Task>	1	72	72
Task<Microsoft.Extensions.HotReload.PayloadType>	1	72	72
Task+<>c	1	24	24
SyncWindowsFileStreamStrategy	1	64	136
StringValidator	1	32	32
StringBuilder	23	2392	2392
StreamWriter	2	2816	3016
StreamInfo	2	112	112
Stream+NullStream	1	24	24
StartupHook+<>c__DisplayClass1_0	1	24	24
StackOverflowException	1	128	128
SpanAction<Char, IntPtr>	1	64	64
SimpleBitVector32	1	24	24
Signature	179	24416	24416
SectionXmlInfo	3	2496	2496
SectionRecord	5	360	4472
SectionInput	3	192	2688
SectionInformation	1	136	136
ScalarTypeInfo	10	1008	1408
RuntimeType+RuntimeTypeCache+MemberInfoCache<RuntimeType>	2	784	784
RuntimeType+RuntimeTypeCache	3	22296	25176
RuntimeType	211	8440	8440
RuntimeResourceSet	1	64	1248
RuntimeEventSource	1	440	968
RuntimeConfigurationRecord+RuntimeConfigurationFactory	1	136	480
RuntimeConfigurationRecord	5	1024	11800
ResourceReader	1	272	872
ResourceManager+ResourceManagerMediator	1	24	24
ResourceManager+CultureNameResourceSetPair	1	32	1280
ResourceManager	1	192	2408
ResolveEventHandler	1	64	64
RenamedEventHandler	1	64	64
ReaderWriterLock	3	168	168
ReaderWriterCount	1	48	48
Random+XoshiroImpl	5	240	240
Random	1	24	72
PropertyValue+<>c	1	24	24
PreAllocatedOverlapped	3	96	240
PortableThreadPool+WorkerThread+<>c	1	24	24
PortableThreadPool+HillClimbing	1	4784	4856
PortableThreadPool	1	488	1000
PipeStream+ReadWriteValueTaskSource	2	288	496
Path+<>c	1	24	24
OverrideModeSetting	2	48	48
OverlappedData	3	8432	8656
OutOfMemoryException	1	128	128
OrdinalIgnoreCaseComparer	1	24	24
OrdinalCaseSensitiveComparer	1	24	24
OperatingSystem	1	136	168
ObjectEqualityComparer<ThreadInt64PersistentCounter+ThreadLocalNode>	1	24	24
ObjectEqualityComparer<RuntimeType>	1	24	24
NumberFormatInfo	3	1592	1592
Number+FloatingPointInfo	3	216	216
NonRandomizedStringEqualityComparer+OrdinalIgnoreCaseComparer	1	24	24
NonRandomizedStringEqualityComparer+OrdinalComparer	2	48	72
NativeRuntimeEventSource	1	277616	313160
NamedPipeClientStream	1	224	536
Mutex	1	24	56
Microsoft.Win32.SafeHandles.SafeWaitHandle	3	96	96
Microsoft.Win32.SafeHandles.SafePipeHandle	1	32	32
Microsoft.Win32.SafeHandles.SafeFileHandle	2	144	144
Microsoft.Extensions.HotReload.HotReloadAgent	1	880	1768
ManifestBasedResourceGroveler	1	24	48
LowLevelLock	3	144	336
LowLevelLifoSemaphore	1	176	240
log4net.Util.TypeConverters.TypeConverter	1	24	24
log4net.Util.TypeConverters.PatternStringConverter	1	24	24
log4net.Util.TypeConverters.PatternLayoutConverter	1	24	24
log4net.Util.TypeConverters.IPAddressConverter	1	24	24
log4net.Util.TypeConverters.EncodingConverter	1	24	24
log4net.Util.TypeConverters.BooleanConverter	1	24	24
log4net.Util.ReusableStringWriter	22	1232	3520
log4net.Util.ReaderWriterLock	2	48	160
log4net.Util.PropertiesDictionary	17	408	3264
log4net.Util.PatternStringConverters.NewLinePatternConverter	2	128	1664
log4net.Util.PatternStringConverters.LiteralPatternConverter	8	752	20432
log4net.Util.PatternParser+StringLengthComparer	1	24	24
log4net.Util.OnlyOnceErrorHandler	2	232	232
log4net.Util.NullSecurityContext	1	24	24
log4net.Util.EmptyCollection	1	24	24
log4net.Util.CountingQuietTextWriter	1	104	2328
log4net.Util.AppenderAttachedImpl	1	72	17056
log4net.Repository.LoggerRepositoryShutdownEventHandler	1	64	64
log4net.Repository.LoggerRepositoryConfigurationChangedEventHandler	1	64	64
log4net.Repository.Hierarchy.RootLogger	1	104	17240
log4net.Repository.Hierarchy.ProvisionNode	1	88	88
log4net.Repository.Hierarchy.LoggerKey	2	64	64
log4net.Repository.Hierarchy.Hierarchy	1	216	2536
